sample_name	sample_title	organism	isolate	collection_date	geo_loc_name	sex	tissue	age	igseq_BarcodeFwd	igseq_BarcodeRev	igseq_Chain	igseq_Type	igseq_Run	igseq_Specimen	igseq_Specimen_Subject	igseq_Specimen_Timepoint	igseq_Specimen_CellCount	igseq_Specimen_CellType
RM40591WK96ML2	Rhesus macaque 40591 week 96 light chain (kappa) antibody reads from 320000 IgM+ cells	Macaca mulatta	40591	missing	missing	missing	missing	missing	2	8	light	kappa	210305_M05588_0384_000000000-JGBFB	RM40591WK96IGM	40591	96	320000	IgM+
RM41328WK72MH	Rhesus macaque 41328 week 72 heavy chain (mu) antibody reads from 559000 IgM+ cells	Macaca mulatta	41328	missing	missing	missing	missing	missing	3	17	heavy	mu	210312_M00281_0001_000000000-JG46C	RM41328WK72IGM	41328	72	559000	IgM+
RM41328WK72ML	Rhesus macaque 41328 week 72 light chain (lambda) antibody reads from 559000 IgM+ cells	Macaca mulatta	41328	missing	missing	missing	missing	missing	4	12	light	lambda	210507_M05588_0411_000000000-JMH2W	RM41328WK72IGM	41328	72	559000	IgM+
RM6070WK12MH	Rhesus macaque 6070 week 12 heavy chain (mu) antibody reads from 221000 IgM+ cells	Macaca mulatta	6070	missing	missing	missing	missing	missing	3	16	heavy	mu	210401_M05588_0397_000000000-JLRG6	RM6070WK12IGM	6070	12	221000	IgM+
RM6070WK12MK	Rhesus macaque 6070 week 12 light chain (kappa) antibody reads from 221000 IgM+ cells	Macaca mulatta	6070	missing	missing	missing	missing	missing	4	7	light	kappa	210319_M00281_0004_000000000-JJ3LL	RM6070WK12IGM	6070	12	221000	IgM+
RMV033WK04MH6	Rhesus macaque V033 week 4 heavy chain (mu) antibody reads from 200000 IgM+ cells	Macaca mulatta	V033	missing	missing	missing	missing	missing	3	18	heavy	mu	210324_M00281_0007_000000000-JLRFW	RMV033WK04IGM	V033	4	200000	IgM+
RM40591WK96MH4	Rhesus macaque 40591 week 96 heavy chain (mu) antibody reads from 320000 IgM+ cells	Macaca mulatta	40591	missing	missing	missing	missing	missing	5	18	heavy	mu	210413_M05588_0400_000000000-JLT9F	RM40591WK96IGM	40591	96	320000	IgM+
RM40591WK96ML3	Rhesus macaque 40591 week 96 light chain (kappa) antibody reads from 320000 IgM+ cells	Macaca mulatta	40591	missing	missing	missing	missing	missing	2	8	light	kappa	210416_M00281_0015_000000000-JLRPF	RM40591WK96IGM	40591	96	320000	IgM+
RMT646WK16MH	Rhesus macaque T646 week 16 heavy chain (mu) antibody reads from 658000 IgM+ cells	Macaca mulatta	T646	missing	missing	missing	missing	missing	7	18	heavy	mu	210430_M00281_0021_000000000-JMJ8T	RMT646WK16IGM	T646	16	658000	IgM+
RMT646WK16ML	Rhesus macaque T646 week 16 light chain (lambda) antibody reads from 658000 IgM+ cells	Macaca mulatta	T646	missing	missing	missing	missing	missing	8	14	light	lambda	210423_M05588_0405_000000000-JLM2F	RMT646WK16IGM	T646	16	658000	IgM+
RM41328WK72MH2	Rhesus macaque 41328 week 72 heavy chain (mu) antibody reads from 559000 IgM+ cells	Macaca mulatta	41328	missing	missing	missing	missing	missing	3	17	heavy	mu	210514_M00281_0026_000000000-JL5N2	RM41328WK72IGM	41328	72	559000	IgM+
RM41328WK72ML2	Rhesus macaque 41328 week 72 light chain (lambda) antibody reads from 559000 IgM+ cells	Macaca mulatta	41328	missing	missing	missing	missing	missing	4	12	light	lambda	210514_M05588_0413_000000000-JHYWC	RM41328WK72IGM	41328	72	559000	IgM+
RMT646WK16MH2	Rhesus macaque T646 week 16 heavy chain (mu) antibody reads from 658000 IgM+ cells	Macaca mulatta	T646	missing	missing	missing	missing	missing	7	18	heavy	mu	210519_M05588_0415_000000000-JHYMH	RMT646WK16IGM	T646	16	658000	IgM+
RMT646WK16ML2	Rhesus macaque T646 week 16 light chain (lambda) antibody reads from 658000 IgM+ cells	Macaca mulatta	T646	missing	missing	missing	missing	missing	8	14	light	lambda	210521_M00281_0029_000000000-JMH9D	RMT646WK16IGM	T646	16	658000	IgM+
RM42056WK72GH	Rhesus macaque 42056 week 72 heavy chain (gamma) antibody reads from 101000 IgG+ cells	Macaca mulatta	42056	missing	missing	missing	missing	missing	2	19	heavy	gamma	210617_M05588_0426_000000000-JRJ2R	RM42056WK72IGG	42056	72	101000	IgG+
RM42056WK72GK	Rhesus macaque 42056 week 72 light chain (kappa) antibody reads from 101000 IgG+ cells	Macaca mulatta	42056	missing	missing	missing	missing	missing	3	7	light	kappa	210611_M05588_0423_000000000-JHYVH	RM42056WK72IGG	42056	72	101000	IgG+
